source_type,source_file,source_page,collected_at,company,title,job_category,location,deadline,web_scraper_order,web_scraper_start_url,category,cateogory,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,번호,기업명(약어),기업명(정식명),공고제목,위치,마감일,직무,수집일시,페이지
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용공고,백엔드 개발자 채용,개발,홈 > 채용공고 채용공고 목록1페이지 (10건) · 총 3페이지 전체 블루블루오션테크백엔드 개발자 채용서울 강남구2026-08-20개발저장하기 한빛한빛소프트프론트엔드 개발자 채용서울 마포구2026-08-22개발저장하기 그린그린데이터랩데이터 분석가 채용경기 성남시2026-08-25데이터저장하기 알파알파브릿지UX 디자이너 채용서울 영등포구2026-08-18디자인저장하기 넥스넥스트웨이브마케팅 매니저 채용서울 강남구2026-08-30마케팅저장하기 클라클라우드포레스트인사담당자 채용인천 연수구2026-08-27인사저장하기 스마스마트그리드시스템즈영업대표 채용부산 해운대구2026-08-19영업저장하기 오로오로라인포메이션콘텐츠 에디터 채용서울 마포구2026-08-21마케팅저장하기 파인파인트리네트웍스물류관리자 채용경기 성남시2026-08-24물류저장하기 실버실버라이닝AIAI 엔지니어 채용서울 강남구2026-09-01개발저장하기 다음 페이지 →,2026-08-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,C커리어허브,채용공고,백엔드 개발자 채용,홈 > 채용공고 채용공고 목록1페이지 (10건) · 총 3페이지 전체 블루블루오션테크백엔드 개발자 채용서울 강남구2026-08-20개발저장하기 한빛한빛소프트프론트엔드 개발자 채용서울 마포구2026-08-22개발저장하기 그린그린데이터랩데이터 분석가 채용경기 성남시2026-08-25데이터저장하기 알파알파브릿지UX 디자이너 채용서울 영등포구2026-08-18디자인저장하기 넥스넥스트웨이브마케팅 매니저 채용서울 강남구2026-08-30마케팅저장하기 클라클라우드포레스트인사담당자 채용인천 연수구2026-08-27인사저장하기 스마스마트그리드시스템즈영업대표 채용부산 해운대구2026-08-19영업저장하기 오로오로라인포메이션콘텐츠 에디터 채용서울 마포구2026-08-21마케팅저장하기 파인파인트리네트웍스물류관리자 채용경기 성남시2026-08-24물류저장하기 실버실버라이닝AIAI 엔지니어 채용서울 강남구2026-09-01개발저장하기 다음 페이지 →,2026-08-20,개발,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용서울,프론트엔드 개발자 채용,개발,한빛한빛소프트프론트엔드 개발자 채용서울 마포구,2026-08-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,개발자,채용서울,프론트엔드 개발자 채용,한빛한빛소프트프론트엔드 개발자 채용서울 마포구,2026-08-22,개발,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용서울,데이터 분석가 채용,데이터,그린그린데이터랩데이터 분석가 채용경기 성남시,2026-08-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,개발자,채용서울,데이터 분석가 채용,그린그린데이터랩데이터 분석가 채용경기 성남시,2026-08-25,데이터,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용경기,UX 디자이너 채용,디자인,알파알파브릿지UX 디자이너 채용서울 영등포구,2026-08-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,분석가,채용경기,UX 디자이너 채용,알파알파브릿지UX 디자이너 채용서울 영등포구,2026-08-18,디자인,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용서울,마케팅 매니저 채용,마케팅,넥스넥스트웨이브마케팅 매니저 채용서울 강남구,2026-08-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,디자이너,채용서울,마케팅 매니저 채용,넥스넥스트웨이브마케팅 매니저 채용서울 강남구,2026-08-30,마케팅,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용서울,인사담당자 채용,인사,클라클라우드포레스트인사담당자 채용인천 연수구,2026-08-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,매니저,채용서울,인사담당자 채용,클라클라우드포레스트인사담당자 채용인천 연수구,2026-08-27,인사,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,연수구,영업대표 채용,영업,스마스마트그리드시스템즈영업대표 채용부산 해운대구,2026-08-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,채용인천,연수구,영업대표 채용,스마스마트그리드시스템즈영업대표 채용부산 해운대구,2026-08-19,영업,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,해운대구,콘텐츠 에디터 채용,마케팅,오로오로라인포메이션콘텐츠 에디터 채용서울 마포구,2026-08-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,채용부산,해운대구,콘텐츠 에디터 채용,오로오로라인포메이션콘텐츠 에디터 채용서울 마포구,2026-08-21,마케팅,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,채용서울,물류관리자 채용,물류,파인파인트리네트웍스물류관리자 채용경기 성남시,2026-08-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,에디터,채용서울,물류관리자 채용,파인파인트리네트웍스물류관리자 채용경기 성남시,2026-08-24,물류,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p1.html,2026-08-24 07:11:19,성남시,AI 엔지니어 채용,개발,실버실버라이닝AIAI 엔지니어 채용서울 강남구,2026-09-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,채용경기,성남시,AI 엔지니어 채용,실버실버라이닝AIAI 엔지니어 채용서울 강남구,2026-09-01,개발,2026-08-24 04:45:15,jobs_p1.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,채용공고,고객지원매니저 채용,개발,홈 > 채용공고 채용공고 목록2페이지 (10건) · 총 3페이지 전체 문라문라이트커머스고객지원매니저 채용서울 영등포구2026-08-23고객지원저장하기 코스코스모스디자인프로덕트 디자이너 채용서울 마포구2026-08-26디자인저장하기 리버리버플로우로직스물류시스템엔지니어 채용인천 연수구2026-08-29물류저장하기 스타스타필드로보틱스로봇제어엔지니어 채용경기 성남시2026-09-03개발저장하기 그래그래비티애널리틱스데이터 엔지니어 채용서울 강남구2026-08-28데이터저장하기 화이화이트스톤컨설팅경영컨설턴트 채용서울 중구2026-08-31컨설팅저장하기 트루트루노스벤처스투자심사역 채용서울 강남구2026-09-05금융저장하기 에메에메랄드클라우드클라우드엔지니어 채용경기 판교2026-08-30개발저장하기 선라선라이즈페이먼츠결제시스템개발자 채용서울 여의도2026-09-02개발저장하기 딥블딥블루시스템즈QA 엔지니어 채용서울 구로구2026-08-27개발저장하기 ← 이전 페이지다음 페이지 →,2026-08-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11,C커리어허브,채용공고,고객지원매니저 채용,홈 > 채용공고 채용공고 목록2페이지 (10건) · 총 3페이지 전체 문라문라이트커머스고객지원매니저 채용서울 영등포구2026-08-23고객지원저장하기 코스코스모스디자인프로덕트 디자이너 채용서울 마포구2026-08-26디자인저장하기 리버리버플로우로직스물류시스템엔지니어 채용인천 연수구2026-08-29물류저장하기 스타스타필드로보틱스로봇제어엔지니어 채용경기 성남시2026-09-03개발저장하기 그래그래비티애널리틱스데이터 엔지니어 채용서울 강남구2026-08-28데이터저장하기 화이화이트스톤컨설팅경영컨설턴트 채용서울 중구2026-08-31컨설팅저장하기 트루트루노스벤처스투자심사역 채용서울 강남구2026-09-05금융저장하기 에메에메랄드클라우드클라우드엔지니어 채용경기 판교2026-08-30개발저장하기 선라선라이즈페이먼츠결제시스템개발자 채용서울 여의도2026-09-02개발저장하기 딥블딥블루시스템즈QA 엔지니어 채용서울 구로구2026-08-27개발저장하기 ← 이전 페이지다음 페이지 →,2026-08-23,개발,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,전체,고객지원매니저 채용,,문라문라이트커머스고객지원매니저 채용서울 영등포구,2026-08-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,전체,전체,고객지원매니저 채용,문라문라이트커머스고객지원매니저 채용서울 영등포구,2026-08-23,,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,영등포구,프로덕트 디자이너 채용,디자인,코스코스모스디자인프로덕트 디자이너 채용서울 마포구,2026-08-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,채용서울,영등포구,프로덕트 디자이너 채용,코스코스모스디자인프로덕트 디자이너 채용서울 마포구,2026-08-26,디자인,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,채용서울,물류시스템엔지니어 채용,물류,리버리버플로우로직스물류시스템엔지니어 채용인천 연수구,2026-08-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,디자이너,채용서울,물류시스템엔지니어 채용,리버리버플로우로직스물류시스템엔지니어 채용인천 연수구,2026-08-29,물류,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,연수구,로봇제어엔지니어 채용,개발,스타스타필드로보틱스로봇제어엔지니어 채용경기 성남시,2026-09-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,채용인천,연수구,로봇제어엔지니어 채용,스타스타필드로보틱스로봇제어엔지니어 채용경기 성남시,2026-09-03,개발,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,성남시,데이터 엔지니어 채용,데이터,그래그래비티애널리틱스데이터 엔지니어 채용서울 강남구,2026-08-28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,채용경기,성남시,데이터 엔지니어 채용,그래그래비티애널리틱스데이터 엔지니어 채용서울 강남구,2026-08-28,데이터,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,채용서울,경영컨설턴트 채용,,화이화이트스톤컨설팅경영컨설턴트 채용서울 중구,2026-08-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17,엔지니어,채용서울,경영컨설턴트 채용,화이화이트스톤컨설팅경영컨설턴트 채용서울 중구,2026-08-31,,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,중구,투자심사역 채용,,트루트루노스벤처스투자심사역 채용서울 강남구,2026-09-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,채용서울,중구,투자심사역 채용,트루트루노스벤처스투자심사역 채용서울 강남구,2026-09-05,,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,강남구,클라우드엔지니어 채용,개발,에메에메랄드클라우드클라우드엔지니어 채용경기 판교,2026-08-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,채용서울,강남구,클라우드엔지니어 채용,에메에메랄드클라우드클라우드엔지니어 채용경기 판교,2026-08-30,개발,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,판교,결제시스템개발자 채용,개발,선라선라이즈페이먼츠결제시스템개발자 채용서울 여의도,2026-09-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,채용경기,판교,결제시스템개발자 채용,선라선라이즈페이먼츠결제시스템개발자 채용서울 여의도,2026-09-02,개발,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p2.html,2026-08-24 07:11:19,여의도,QA 엔지니어 채용,개발,딥블딥블루시스템즈QA 엔지니어 채용서울 구로구,2026-08-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21,채용서울,여의도,QA 엔지니어 채용,딥블딥블루시스템즈QA 엔지니어 채용서울 구로구,2026-08-27,개발,2026-08-24 04:45:16,jobs_p2.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p3.html,2026-08-24 07:11:19,채용공고,네트워크엔지니어 채용,개발,홈 > 채용공고 채용공고 목록3페이지 (10건) · 총 3페이지 · 마지막 페이지 전체 크리크리스탈네트웍네트워크엔지니어 채용서울 금천구2026-09-04개발저장하기 오크오크우드인더스트리생산관리자 채용경기 안산시2026-08-29생산저장하기 페이페이퍼레인미디어콘텐츠기획자 채용서울 마포구2026-08-28마케팅저장하기 골든골든게이트랩머신러닝엔지니어 채용서울 강남구2026-09-06개발저장하기 실크실크로드로지스틱스해외물류담당자 채용인천 중구2026-08-31물류저장하기 미스미스틱데이터데이터사이언티스트 채용서울 강남구2026-09-07데이터저장하기 브라브라이트웨이브에듀교육콘텐츠개발자 채용서울 종로구2026-08-30교육저장하기 블루블루오션테크백엔드 개발자 채용서울 강남구2026-08-20개발저장하기 한빛한빛소프트프론트엔드 개발자 채용서울 마포구2026-08-22개발저장하기 그린그린데이터랩데이터 분석가 채용경기 성남시2026-08-25데이터저장하기 강사용 힌트: 노란색으로 표시된 마지막 3건은 1페이지의 1~3번과 동일한 공고(중복)입니다. 3페이지를 모두 합쳐 수집하면 총 30행이 되지만 실제로는 27건만 유효합니다 — STEP3 중복제거 실습에서 이 사실을 발견하도록 유도하세요. ← 이전 페이지,2026-09-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22,C커리어허브,채용공고,네트워크엔지니어 채용,홈 > 채용공고 채용공고 목록3페이지 (10건) · 총 3페이지 · 마지막 페이지 전체 크리크리스탈네트웍네트워크엔지니어 채용서울 금천구2026-09-04개발저장하기 오크오크우드인더스트리생산관리자 채용경기 안산시2026-08-29생산저장하기 페이페이퍼레인미디어콘텐츠기획자 채용서울 마포구2026-08-28마케팅저장하기 골든골든게이트랩머신러닝엔지니어 채용서울 강남구2026-09-06개발저장하기 실크실크로드로지스틱스해외물류담당자 채용인천 중구2026-08-31물류저장하기 미스미스틱데이터데이터사이언티스트 채용서울 강남구2026-09-07데이터저장하기 브라브라이트웨이브에듀교육콘텐츠개발자 채용서울 종로구2026-08-30교육저장하기 블루블루오션테크백엔드 개발자 채용서울 강남구2026-08-20개발저장하기 한빛한빛소프트프론트엔드 개발자 채용서울 마포구2026-08-22개발저장하기 그린그린데이터랩데이터 분석가 채용경기 성남시2026-08-25데이터저장하기 강사용 힌트: 노란색으로 표시된 마지막 3건은 1페이지의 1~3번과 동일한 공고(중복)입니다. 3페이지를 모두 합쳐 수집하면 총 30행이 되지만 실제로는 27건만 유효합니다 — STEP3 중복제거 실습에서 이 사실을 발견하도록 유도하세요. ← 이전 페이지,2026-09-04,개발,2026-08-24 04:45:17,jobs_p3.html
jobs_crawled,채용공고_jobs_p1~p3_20260824_044515.xlsx,jobs_p3.html,2026-08-24 07:11:19,금천구,생산관리자 채용,,오크오크우드인더스트리생산관리자 채용경기 안산시,2026-08-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23,채용서울,금천구,생산관리자 채용,오크오크우드인더스트리생산관리자 채용경기 안산시,2026-08-29,,2026-08-24 04:45:17,jobs_p3.html
